Run Physics,Sample Rate,Time Mult,Thermodynamics,Wear,Rigid Ring Dynamics,Free Rolling,Static Coeff,Sliding Coeff,Long Vel (m/s),Lat Vel (m/s),Rotation (rad/s),Rotation (m/s),Nominal Radius (m),Dynamic Unloaded Radius (m),Deflection (m),Goal Load (N),Slip Angle (deg),Slip Ratio (%),Camber (deg),Gauge Pressure (kPa),Temperature (C),RealRoad Groove,RealRoad Marbles,RealRoad Water Depth,RealRoad Temperature (C),Terrain Dry Friction,Terrain Diffusive Adhesion,Terrain Micro Roughness,Terrain Macro Roughness,Terrain (Sound) Index,Weather Ambient Temperature (C),Weather Track Temperature (C),Custom Test File (Realtime),Realtime Test Index,Mirrored,Vertical Force (N),Long Force (N),Lat Force (N),Aligning Torque (Nm),Overturning Torque (Nm),Roll Resist Torque (Nm),Bristle Vertical Power (W),Bristle In-Plane Power (W),Bristle Sliding Power (W),Bristle Abrasion Rate (m/s),Bristle Average WLF Transform,Bristle Average Heat History (Ks),Ring Damping Power (W),Max Bristle Load (N),Max Bristle Lat Force (N),Max Bristle Long Force (N),Max Lat Tread vs. Ring Def (m),Max Long Tread vs. Ring Def (m),File Name,Display 3D,Bead Enclosed Volume (L),Rim Volume (L),Current Air Volume (L),Cross Section Nodes,Peak Radius (m),Peak Half Width (m),Peak Width (m),Load (N),Ground Force X (N),Ground Force Y (N),Ground Force Z (N),Ground Torque X (Nm),Ground Torque Y (Nm),Ground Torque Z (Nm),Displace Bulk Mass With Ply,Total CG X (m),Total CG Y (m),Total CG Z (m),Total Mass (kg),Total Inertia X (kgm^2),Total Inertia Y (kgm^2),Total Inertia Z (kgm^2),Total Ori X (deg),Total Ori Y (deg),Total Ori Z (deg),Ring CG X (m),Ring CG Y (m),Ring CG Z (m),Ring Mass (kg),Ring Inertia X (kgm^2),Ring Inertia Y (kgm^2),Ring Inertia Z (kgm^2),Ring Ori X (deg),Ring Ori Y (deg),Ring Ori Z (deg),Patch CG X (m),Patch CG Z (m),Patch Area (m^2),Stiffness X/X,Stiffness Y/Y & Z/Z,Stiffness Pitch/Pitch,Stiffness Yaw/Yaw & Roll/Roll,Ambient Pressure (kPa),Hold Pressure Constant,Tire Gauge Pressure (kPa),Air Cavity Temp (C),Carcass Temp (C),Quasi Rotation (rad/s),Surface Load Goal (N),Surface Height (m),Surface Camber (deg),Patch Goal CG X (m),Patch Goal CG Z (m),Patch Goal Ori Y (deg),Patch Sections,Patch Test Force X (N),Patch Test Force Z (N),Ring Test Force X (N),Ring Test Force Y (N),Ring Test Force Z (N),Ring Test Torque X (Nm),Ring Test Torque Y (Nm),Ring Test Torque Z (Nm),Use Orig Pos For Torque,Symmetric Test,Adaptive Velocity Damper,User DT Multiplier,Auto Fail-Safe,Velocity Damper (Force),Convergence Mult (Point),Iterations Per Frame,Convergence Criteria,Peak Criteria,Force-Based Iterations,Percent Done,Run Automated,Automated Test Index,Num Automated Tests,Num Required Tests,Custom Test File (QSA),
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,268.7900000000,93.9015000000,0.3493490000,0.2918153112,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,4.7272176351,0.0000000000,0.0000000000,0.0000000000,-0.0000000350,0.0000000000,0.0000000000,0.0001322957,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3307000000,0.2885730000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,0.7272176349,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3318480000,0.2887300000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,145.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,1.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3317880000,0.2891790000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,80.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,2.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,134.3950000000,45.0710000000,0.3353620000,0.2894218728,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,3.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000056,0.0000000000,0.0000000000,0.0000520657,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000049,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,268.7900000000,93.9015000000,0.3493490000,0.2918153112,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,4.7272176351,0.0000000000,0.0000000000,0.0000000000,-0.0000000119,0.0000000000,0.0000000000,0.0001363598,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000206,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3307000000,0.2885730000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,0.7272176349,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3318480000,0.2887300000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,145.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,1.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3317880000,0.2891790000,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,80.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,2.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,134.3950000000,45.0710000000,0.3353620000,0.2894218709,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,3.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000053,0.0000000000,0.0000000000,0.0000519110,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000053,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.0000000000,2400.0000000000,100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,2.3580000000,1.5750000000,0.0000000000,0.0000000000,268.7900000000,93.9015000000,0.3493490000,0.2918153112,-2.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,127.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,27.0000000000,1.0000000000,1.0000000000,0.5000000000,0.2500000000,0.0000000000,25.0000000000,-273.1500000000,0.0000000000,4.7272176351,0.0000000000,0.0000000000,0.0000000000,0.0000000871,0.0000000000,0.0000000000,0.0001379441,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000205,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
